author.properties.friends,author.properties.status_count,author.properties.verified,content.body,location.country,properties.platform,properties.sentiment,location.latitude,location.longitude
1689,22566,False,Can't believe I'm missing Love Island 😩,GB,twitter,1,51.57044795545623,0.45713550000000003
114,1377,False,Last tweet about future wedding..... if I actually want a wedding I actually need to find a guy XD we all know I'm a loner. unlovable,GB,twitter,1,52.969744440802685,-1.1722659999999996
568,8375,False,"How many times does he wonna say the phrase ""i deal with shit"" #LoveIsland",GB,twitter,-1,51.394368557245095,0.026298999999999996
1845,19394,False,...even better if time travel were invented and I could go there back in 1876 and have a whiskey with Al #Deadwood,GB,twitter,-1,51.648544478966905,-3.8042920000000016
1617,17922,False,@GreenAlty @ShakeyStephens My Mum in mid 80s pushed into road by Black migrants 2 sons with disabilities attacked robbed U THINK WE NEED MOR,GB,twitter,0,53.54347057254045,-2.6532380000000004
908,97118,False,@sarahann_jones @heatherpeace @seachell74 @HP_Community @cocacolagirl35 factor 30 this year lesson learnt tee hee X,GB,twitter,-1,50.84034002985045,-0.13035600000000003
294,29373,False,Folk at level 12 running around in Reaper mariachi skins and I'm level 30 with FUCK AW,GB,twitter,1,55.46607469435491,-4.624916500000001
188,890,False,Just want money so I can move away 😩,GB,twitter,-1,52.80280339743897,-0.8380554999999998
783,32215,False,"@Ray1Moses @Cornerstone_HQ Rice flour then. Doesn't have the same effect yelling ""Self-raising"" . People just think you're mad .",GB,twitter,0,57.589930014026,-4.531439500000001
96,43578,False,عجزت عيوني على غيرك تمون، ماعرفت انطق لغيرك بالسلام💕.,GB,twitter,0,51.5248433429905,-0.17311500000000005
55,9553,False,Club penguin blocked me for saying 'fucking' and 'bitch' ..Not my fault another fucking penguin wouldn't move off the seat i was sitting on,GB,twitter,-1,52.49405270288055,-1.8906405
388,44249,False,British Museum pays tribute to Zinedine Zidane: Head of a Priest. #sunkencities #egypt @ Sunken… https://t.co/bux1bYdrur,GB,twitter,0,51.51788,-0.12723
284,3655,False,Word 💯💯 https://t.co/GqyTWlR1Pj,GB,twitter,-1,51.35895133231162,-0.09263300000000001
