author.properties.friends,author.properties.verified,location.longitude,author.properties.status_count,properties.sentiment,location.latitude,location.country,content.body,properties.platform
632,False,-2.3200564999999997,106490,0,52.11937731784101,GB,@moel_bryn https://t.co/qvz1bI2Utb,twitter
278,False,-0.3370625,31467,-1,51.59585202771581,GB,Who wants to rap battle with me on stream tomorrow 👀,twitter
169,False,-0.27846400000000004,1185,-1,51.39007140862319,GB,i think she'd Understand but there's like Nothing she can do,twitter
195,False,0.026298999999999996,2742,-1,51.394368557245095,GB,@SoccerSix #SoccerSixNashGrier pleassssssseeeeeee 🙋🏼🙋🏼🙋🏼🙋🏼🙏🏼🙏🏼🙏🏼🙏🏼🙏🏼🙏🏼🙏🏼,twitter
572,False,-0.09263300000000001,18332,0,51.35895133231162,GB,@GraceLazard 💖,twitter
727,False,-0.1815875,5572,0,51.361915086985626,GB,All I want is for my @JeffreeStar order to arrive 😭😩,twitter
2454,False,-0.060167500000000006,12466,0,51.54765285291366,GB,My #TeenChoice #ChoiceSongMaleArtist is PILLOWTALK by @zaynmalik https://t.co/RgTKC5VJYW,twitter
94505,False,-2.3158515,40455,1,51.23073568064819,GB,The day to day loneliness is real,twitter
1047,False,-4.2417515,16090,-1,55.85839558130999,GB,@JulietteLewis :hugs:,twitter
599,False,1.0901355000000001,33251,-1,51.27676464045431,GB,@bxstock there's a reason his @ is literally Paedrophile,twitter
1111,False,-1.216432,39484,-1,54.678996915358894,GB,"hate when people winge about vegetarians and vegans, maybe you shouldn't eat dead bodies and we'd shut the fuck up",twitter
278,False,-0.3370625,31474,-1,51.59585202771581,GB,@Wackkyyy Yes if you take your shirt off like you did in the skype call. 👀,twitter
63,False,-1.3381829999999997,836,-1,54.75980522083087,GB,Shimano go hard doe,twitter
624,False,-0.102162,12598,0,51.58792119344532,GB,"Bc women werent given the education, opportunity nor recognition. So how were you expecting them to reach potential? https://t.co/WhIfCsXrra",twitter
198,False,-0.2631405,32655,-1,51.56521809122742,GB,@MarilynMill_ a whole serial killer you know,twitter
1870,False,-0.29743,7396,0,51.51476447266411,GB,"...and an @OlfactiveStudio Parfums Inspires box. And if @fredericmalle_ had had the Lipstick Rose shower gel...
@Selfridges @Perfume_Society",twitter
11,False,-3.542993,1029733,0,51.676323,GB,"00:57 BST: Temperature: 13.5°C, Wind: SW, 0 mph (ave), 5 mph (gust), Humidity: 79%, Rain (hourly) 0.0 mm, Pressure: 1019 hPa, falling slowly",twitter
677,False,-5.928412999999999,5140,-1,54.59591680133457,GB,Trying not to get annoyed at things you can't change is superrrrrrrrr hard,twitter
5009,False,-1.08333,543,0,51.2667,GB,Just posted a photo @ Basingstoke https://t.co/uv70uvNWIC,twitter
363,False,-0.12731805,4975,-1,51.50711486,GB,"Royal Courts of Justice, Strand @ London, United Kingdom https://t.co/oxIUctOuEX",twitter
153,False,-0.13035600000000003,58,1,50.84034002985045,GB,A huge thank you to @absoluteradio for turning all night revision into a sing along session. Love the app  :),twitter
721,False,-0.018734000000000008,4331,1,51.599263128359,GB,@jessiechar the Sketch/Nylas Meetup is perfect. Would be great to have one every night given our limited time out there.,twitter
1394,False,-6.062353500000001,137139,1,54.51603989375694,GB,@DeIeBird I'm about to watch The sound of drums,twitter
338,False,-2.2334800000000006,3005,0,53.456983702037085,GB,@anniewoodallxo LUV YOU,twitter
359,False,-0.0777585,53332,-1,51.79661280900454,GB,Aww ☺️ he looks big for two years  https://t.co/obfGUakW7D,twitter
209,False,0.026298999999999996,89,-1,51.394368557245095,GB,More than 20 billion packs of @KITKAT are eaten per year #Nestle  https://t.co/sRQWDwIwlT,twitter
215,False,-0.0350195,2901,-1,51.51483911149297,GB,Did you sacrifice your sister or you sacrificed something for your sister? https://t.co/OZNx0IPHc5,twitter
278,False,-0.3370625,31474,0,51.59585202771581,GB,I Disliked a @YouTube video from @ninjaaye https://t.co/FcgpKGQL1g  WHY I SHOULD JOIN VALE! #VALECCRC @ValeFancier @ValePats @MythUkie,twitter
313,False,-0.13035600000000003,2482,-1,50.84034002985045,GB,@_kirst_a mine is even lower than that 😂😂,twitter
102,False,-3.2209625000000006,97,0,51.66512059670472,GB,Awesome night with @tenovuscancer with the send off party! #togetherstronger and @FAWales captain. #honour https://t.co/ItBYWwibe7,twitter
160,False,-2.2334800000000006,11120,0,53.456983702037085,GB,Sit back and disengage,twitter
319,False,-1.5654900000000003,94646,-1,53.802038177843606,GB,would tactically nut,twitter
220,False,-1.13067,507,-1,52.626293532909706,GB,"Cute goodies from today, it was fun even though I felt too sad so I had to leave early😅 https://t.co/Rk344bwvYE",twitter
820,False,-0.13035600000000003,275,-1,50.84034002985045,GB,#robotromance,twitter
797,False,-2.664049,19428,1,53.33373983363341,GB,"@samsmith5034 @Mattbowes80 @NextBigPod fair point Dan/Bizier numbers. I'm still on a comedown after Sunday haha, want another stadium fight!",twitter
190,False,-1.7527905000000001,773,-1,55.04009406199007,GB,Hahahah not being second choiceeee,twitter
1055,False,-0.1815875,3648,-1,51.361915086985626,GB,Omg Aunty Helen is on snapchat!! Yasss 🙌🏻   https://t.co/D5SSVw017U,twitter
134,False,-3.11833333,30270,0,53.40638889,GB,"Wind 1.5 mph SSE. Barometer 1028.0 mb, Falling slowly. Temperature 10.6°C. Rain today 0.0 mm. Humidity 86% - https://t.co/70pVDVHU7H",twitter
2984,False,-1.5654900000000003,16851,0,53.802038177843606,GB,@MariaPulk @3coolkatz @SquirtTheCat @The_Tardis_Toms @Mr_Pie @MrMoustacheCat @RosieRoseLA  :) xxx https://t.co/3SY0Bb20Gk,twitter
236,False,-0.018734000000000008,39453,-1,51.599263128359,GB,@DailyMesut Kane next year bro,twitter
266,False,-2.0964385,4634,1,53.470459172817435,GB,@ainsleya_ awww babe!!!! Imagine.,twitter
456,False,-2.2038685000000005,1406,-1,52.530541925714566,GB,Evan is a guitier player,twitter
0,False,-1.39231968,1702462,0,50.91808335,GB,"I Got A Feeling by The Four Tops is #nowplaying in Shooting Star, Southampton.",twitter
5009,False,-1.08333,544,0,51.2667,GB,Just posted a photo @ Basingstoke https://t.co/4Bi2jfnLmB,twitter
2369,False,-0.18919,126801,0,51.50379309930915,GB,"Looks like the MCU has found its CAPTAIN MARVEL star, and it's a recent Oscar winner... https://t.co/kRZSPs0Afu https://t.co/ImnAMYmP5H",twitter
1008,False,-2.5933005000000002,1828,1,53.38263616563445,GB,Would love a spoon rn,twitter
641,False,-0.619748,43189,-1,51.70706023305607,GB,"@erincadams Same! The amount of times I've had to say 'sorry I'll just get my manager.' I've got used to the majority of it though, I think",twitter
2269,False,-6.290965500000001,8860,-1,54.86376699902865,GB,@DanaSchwartzzz it's the same with cleaning up,twitter
659,False,-2.2981339999999997,92253,1,52.916607589459744,GB,"Si Jesús tropezó, por qué él no habría de hacerlo? https://t.co/o7sGfg5WkG",twitter
800,False,-2.9154269999999998,4226,-1,53.419914903420405,GB,@aawestby waveyyyyy,twitter
1065,False,-0.15940300000000002,113256,1,51.54244893903978,GB,"127 - Baby, this ride is just getting started.",twitter
1877,False,-4.8915935,7161,-1,55.888357164286205,GB,this!! https://t.co/BpyTfTrU3b,twitter
203,False,-0.6839585,1299,0,51.636640259876245,GB,soo accurate  https://t.co/0Q4nvR8Vrb,twitter
2457,False,-2.6772815,40803,-1,51.63335610131152,GB,small town I guess  https://t.co/fAQo7Gt3Ug,twitter
770,False,-4.2417515,45668,1,55.85839558130999,GB,Time for bed xxx https://t.co/rqDlsVasAG,twitter
465,False,-0.060167500000000006,87051,0,51.54765285291366,GB,"J'suis archi fine en vrai c'est mtn je crame, on va voir si jv pas devenir une thick girl mtn",twitter
734,False,-0.09291050000000002,35183,1,51.51448212166734,GB,@5N_Afzal @Ephemeral321 @whatonomy We should ask!!,twitter
283,False,-2.2981339999999997,12944,-1,52.916607589459744,GB,@fuckrunar @Optipal Yeh do it,twitter
838,False,-0.8027400000000003,4301,1,51.07780640731842,GB,Don't need no man in my life!!,twitter
751,False,-2.4225325,11698,-1,51.54219923947426,GB,if my neighbours could stop shouting that would be great,twitter
1137,True,-0.21610800000000002,21791,1,51.49839328713241,GB,@natalie_rw thank youuu Nat!,twitter
1596,False,-1.7396194999999999,107722,-1,55.13511300814875,GB,@josh_bennett12 be better if it wasn't my collar 😌,twitter
4333,False,-0.19371950000000002,15352,-1,51.451674884083495,GB,@JonTolleyTweets stop it,twitter
2951,False,-4.2417515,19949,-1,55.85839558130999,GB,"Cow, I met your mother! #farmfilms",twitter
1387,False,0.21058950000000004,18628,0,51.560607684597755,GB,"Reg this wks #GameofThrones:
One scene had folks we haven't seen in ages,talking bout places we've not seen w/reveal of a minor s3 dude. Wtf",twitter
764,False,-3.919737,7605,-1,55.77871485964874,GB,"DONT STOP MOVING , CAN YOU FEEL THE MUSIC",twitter
76,False,-1.3381829999999997,2,0,54.75980522083087,GB,@AnthonyAshurst @AndroidAuth https://t.co/NFGshSeVDG,twitter
283,False,-1.2855619999999999,2470,-1,53.49745810140566,GB,"""Never trust a southerner"" ffs Nath 😹😹",twitter
1923,False,-2.4874310000000004,25049,-1,53.53073471642859,GB,My head is killing😴,twitter
2078,False,-0.44236099999999995,79871,0,51.53707969560851,GB,@JamiePaul587 @Allan22_WHU https://t.co/io6iSwt2hj,twitter
204,False,0.21058950000000004,2728,1,51.560607684597755,GB,1am is the best time to SEO.,twitter
195,False,0.026298999999999996,2743,0,51.394368557245095,GB,@SoccerSix #SoccerSixNashGrier 🙏🏼🙏🏼🙏🏼🙏🏼🙏🏼🙏🏼⚽️⚽️⚽️⚽️⚽️⚽️🙋🏼🙋🏼🙋🏼🙋🏼🙋🏼🙋🏼🙋🏼🙋🏼,twitter
235,False,0.7013054999999998,1589,-1,51.926925427375245,GB,"Hate it when I can't switch off and sleep, my mind is on over drive 😕",twitter
7,False,-0.222475,21141,-1,51.488774,GB,Want to know more about Internet connectivity in W6 8JA? Look no further than https://t.co/iA38toZVCE #broadbandcompareuk #bestbroadband,twitter
649,False,-0.44236099999999995,18890,-1,51.53707969560851,GB,Pussy boy https://t.co/WCNxMQuQLx,twitter
375,False,-0.252754,15886,-1,51.39781057661456,GB,@SkyNews surely Gove prepared to sacrifice prosperity of UK in gamble #Brexit will make @BorisJohnson PM and he'll be chancellor #StrongerIn,twitter
72,False,-0.07060350000000003,7144,0,51.46469310439313,GB,"LIES, ALL LIES https://t.co/zF0j6Xgues",twitter
1645,False,-1.4236290000000003,7738,-1,54.88161261656938,GB,@toystorydom I didn't go to Slam Dunk :(,twitter
655,False,-3.2030084999999997,13315,-1,55.943259273756,GB,And this https://t.co/lr5RhoUZ8t,twitter
18980,False,-0.09291050000000002,86751,1,51.51448212166734,GB,"@PkrbkrNelson So glad dearest Desiree. Lots coming up, some real big-hitters in the works. <3 xx",twitter
634,False,-0.2631405,5887,0,51.56521809122742,GB,THE WHOLE DVSN ALBUM  https://t.co/Yi0x32dTEc,twitter
68,False,-0.12731805,446,0,51.50711486,GB,"Stylish like an old fashioned film! 
#London #lovelondonlife #lovelondon #strangeandfamiliarcomp… https://t.co/MphUPEW6Ll",twitter
5090,False,-2.65,670875,0,49.4333,GG,@Siriuo topic similar @ChronolabsCoop this article https://t.co/hA4OrvGEPO entitled: 'Profile XOOPS Module',twitter
2457,False,-2.6772815,40693,0,51.63335610131152,GB,Jim chapman  https://t.co/onAO5sorTq,twitter
219,False,-1.7460660000000003,20189,0,50.74393070677674,GB,"I haven't gotten to sleep any earlier than 2am the past 5 nights, how am I meant to survive",twitter
1516,False,-3.4468685000000003,45231,-1,55.12375402958675,GB,@akazeeox @Seymourbirdies They gave us a full display as they fought for twenty minutes over a small rodent the kestrel had! :-),twitter
11,False,-3.542993,1029711,0,51.676323,GB,"00:35 BST: Temperature: 13.6°C, Wind: SSW, 1 mph (ave), 5 mph (gust), Humidity: 79%, Rain (hourly) 0.0 mm, Pressure: 1019 hPa, falling slowl",twitter
446,False,-0.09916350000000003,20154,-1,51.64530734401061,GB,.@PHammondMP Speak to the Ethiopian Authorities right now and demand that they release British citizen Andy Tsege.,twitter
407,False,-0.18919,440,0,51.50379309930915,GB,https://t.co/hSs8LjAAFs,twitter
315,False,0.10673700000000003,14927,-1,51.76827386362998,GB,@jennamarieeeee_ look at us!Puberty hit us so hard we went from 'let's be friends on animal crossing' to 'I'm in love with ? and I'm a fan',twitter
1111,False,0.08932450000000001,16537,-1,51.468410299162315,GB,Lol 🙊 https://t.co/rYb7CKsUPy,twitter
344,False,-1.8906405,24629,-1,52.49405270288055,GB,deservedmore https://t.co/mnWTvPDtHn,twitter
247,False,0.1618535,34783,0,51.479518714513524,GB,@nlitvin What do you think of the heroic @NDAvengers?I think they're latest. Trending more than Stupid nigeria spending millions for nothing,twitter
322,False,-1.8906405,29826,-1,52.49405270288055,GB,"""Why do you like Euro 96 more than you like me?""

A thing @ccclutterbuck just said that I thought was worth tweeting.",twitter
225,False,-0.13689175,44455,0,51.50520381,GB,"Posh posh (@ St James's Palace in Westminster, London) https://t.co/69fh1f0Cur",twitter
187,False,0.511578,178,0,52.227131081826634,GB,Marsh Harrier and Heigham Holme Mill https://t.co/E3jgdHFvQ3,twitter
386,False,-2.9154269999999998,30525,0,53.419914903420405,GB,✨ https://t.co/8Fa6PDZBPl,twitter
89,False,0.13591599999999998,942,0,52.20098398787838,GB,@paigecroft_ https://t.co/pgh4w3XEBS,twitter
280,False,0.5824535000000001,39203,-1,51.37116768457937,GB,@Keisha_Adams_ how much was it? I'm so jealous,twitter
729,True,-5.928412999999999,29143,-1,54.59591680133457,GB,I meant to say clever dick !  https://t.co/S2dGkqn2mU,twitter
4117,False,-1.4496120000000003,60989,0,53.38322877572023,GB,@susan_250 @WOWpetition @Solutionprovida It also concerns all the candidates that came 2nd and Ed Milliband who wld have won election,twitter
218,False,-0.8296719999999999,16942,0,51.33872944477839,GB,😔💔💩,twitter
407,False,0.076326,3690,1,51.618371993385715,GB,So need a trip to Amsterdam....😜,twitter
169,False,-1.8906405,2963,1,52.49405270288055,GB,Netflix and Gill,twitter
509,False,-2.1556405,7416,0,53.414623479394955,GB,maaaaaaaaad,twitter
58699,False,-0.29743,17837,0,51.51476447266411,GB,Prosecco and movies with @rhiannolan 👫😘,twitter
163,False,-1.4407025,4892,0,54.9779371296568,GB,Californication oozes cool. Don't know why I hadn't started watching it sooner.,twitter
1090,False,0.286119,16316,0,50.78203303384379,GB,"@rositastef criticise many countries on human rights, Israel has no exceptions, nation states have a duty to seek a peace process",twitter
272,False,-2.7615755,610,-1,51.43362577820576,GB,Fuck sake Helen what y'all do now,twitter
324,False,-4.2417515,26529,0,55.85839558130999,GB,@TheJeffOn45 Sinitta - Toy Boy[Remix] 4.25mins ... specific version b-side of Cross My... & Stefan Dennis -Don't It Make You Feel Good /,twitter
1016,False,-0.09916350000000003,73935,-1,51.64530734401061,GB,@RicaCarter__ slightly baffed and concerned rn,twitter
1536,False,-2.2010590000000008,34873,0,49.19293517135404,JE,@Devoured1 @MfnH listen here buddy https://t.co/UIcgfus3KS,twitter
2181,False,-0.18919,18952,0,51.50379309930915,GB,B/day Wishes to Chubby Tavares#🎤 @KingTherapy @alsshowtime @Huckleberryquik @JoeyRichie @SharronMonty @steventeaster @ycer1 @Sw1Radio,twitter
2457,False,-2.6772815,40696,0,51.63335610131152,GB,no https://t.co/76tbMas8Df,twitter
983,False,-2.996768,36267,-1,53.75779567001227,GB,If there's one thing I wish I was better at it's being calm in a crisis,twitter
