statement,label
  woof exclamation,negative
video will be in the morning now,neutral
if you ever gonna sleep at mine just know we are gonna watch joan rivers do not start with me so sexy is not it,negative
feel like this was created just for you  ,positive
imagine been able to tweet about something fun nope not me have no idea exclamation i am so boring face with tears of joy face with tears of joy,positive
 i am on page # this month exclamation,positive
gee's little laugh is adorable sparkles smiling face see no evil monkey,positive
my mood is pile of poo,positive
when  makes the whole house watch the drivel that is skull skull,positive
 yes then jack congrats on #zerozerok well done,negative
  it does not matter how they became that way telling them oh its okay is only going to make it worse,positive
 ha ha blush,positive
there are places i will not work because of this important that we acknowledge the past ,positive
i am at send in send surrey ,negative
awesome night with  with the send off party exclamation and  captain ,negative
 here comes another album broken heart,neutral
 nice one exclamation i watched felix play against a couple of much older opponents at challenger level last year amazing talent,negative
'if your lucky you can be my girlfriend' lool,negative
  missed you too group huggie grinning face with big eyes face blowing a kiss person gesturing no person gesturing no person gesturing no,positive
 as have i you must have just met a bad bunch,negative
when you wake up too early for work homemade friendly cauliflower cheese shortcrust pastry tart exclamation ,positive
 firm it,positive
 ,neutral
 so much mor hic comprehensive well done,negative
 nah i am good,neutral
       always makes me smile happy,negative
    miings exclamation,neutral
i won # on bejeweled hypercash  via  grinning face ,positive
mac mxtthiass,negative
post show dinner sketch ,negative
,neutral
 where are you my friend when the moon is full,neutral
richly deserved ,neutral
fatty magoo fatty magoo magoo magoo magoo magoo,negative
neutral,negative
extraando red heart back arrow london united kingdom ,positive
happy birthday b more life and see you friday red heart  ,positive
not too bad ,negative
look at my favorite people in the world revolving hearts revolving hearts ,negative
i personally found my britney impersonation on snapchat hilarious,negative
 happy birthday liv growing heart sparkles grinning squinting face x x x x,positive
 we tried nice men never worked heard bad reports he likes a drink more than players you tube clip outside pub ostrich comment,neutral
 elise fearful face i cant believe this exclamation,neutral
 greatest of all time,negative
if i get a # # in my engineering degree i will be okay right,negative
she can have a cup of my jizz for #zero grand raised fist sweat droplets ,negative
one of the amazing perks available from the indiegogo campaign starting jul ## more info at  ,negative
my ride for the night is from  ,negative
oreos are the messiest things to eat face with rolling eyes,positive
edge of seventeen by stevie nicks is in pier eight download it now at ,positive
when can i leave skem,positive
missing christian grey then meet ark morgan of roxie brown a lol spoof  ,positive
,neutral
such struggs trying to pick a dress for last fling tired face tired face,positive
raymond ibrahim moment the pope who gained the world but lost his own soul ,positive
cgttnkotwehno ,positive
so pleased  have released their new song poppy and upbeat so impressed guys pre order is in exclamation see you on the #th flexed biceps,negative
 stop it,negative
small town i guess ,neutral
fucked all my exams xx,negative
 i like the cheadle too ,negative
probably for the best i guess so i do not end up spending more otherwise i will be digging the dumpsters for food this month,negative
has made me so happy exclamation exclamation waited forever for it and it is so nice to see everyone loving it awh yellow heart green heart blue heart red heart purple heart,negative
 two hearts you guys,negative
    they do and it was great i could count them all in #zero seconds ok hand,positive
 you are tipsy x ily face with tears of joy red heart,neutral
  thanks bro exclamation,neutral
 sent you more dm shite happy,positive
midnight munchies decisions decisions see no evil monkey see no evil monkey protein waffle with prutella  gains ,positive
 all jokes aside mohammed was a lovely guy and was very proud of his beamer i hope he finds happiness learns how to trust,positive
 thought you would appreciate the combination of artificial intelligence and cooking exclamation ,positive
there is probably ten goals that get played over and over again gascoigne tellingly has two of them and rightly so an absolute genius,positive
